size,sort_name,array_type,average_time
37100,Hybrid Merge+Insertion Sort,random,14
37200,Hybrid Merge+Insertion Sort,random,14
37300,Hybrid Merge+Insertion Sort,random,14
37400,Hybrid Merge+Insertion Sort,random,14
37500,Hybrid Merge+Insertion Sort,random,15
37600,Hybrid Merge+Insertion Sort,random,14
37700,Hybrid Merge+Insertion Sort,random,14
37800,Hybrid Merge+Insertion Sort,random,14
37900,Hybrid Merge+Insertion Sort,random,14
38000,Hybrid Merge+Insertion Sort,random,14
38100,Hybrid Merge+Insertion Sort,random,14
38200,Hybrid Merge+Insertion Sort,random,14
38300,Hybrid Merge+Insertion Sort,random,16
38400,Hybrid Merge+Insertion Sort,random,19
38500,Hybrid Merge+Insertion Sort,random,16
38600,Hybrid Merge+Insertion Sort,random,18
38700,Hybrid Merge+Insertion Sort,random,17
38800,Hybrid Merge+Insertion Sort,random,15
38900,Hybrid Merge+Insertion Sort,random,15
39000,Hybrid Merge+Insertion Sort,random,19
39100,Hybrid Merge+Insertion Sort,random,15
39200,Hybrid Merge+Insertion Sort,random,16
39300,Hybrid Merge+Insertion Sort,random,18
39400,Hybrid Merge+Insertion Sort,random,17
39500,Hybrid Merge+Insertion Sort,random,15
39600,Hybrid Merge+Insertion Sort,random,15
39700,Hybrid Merge+Insertion Sort,random,15
39800,Hybrid Merge+Insertion Sort,random,15
39900,Hybrid Merge+Insertion Sort,random,15
40000,Hybrid Merge+Insertion Sort,random,15
40100,Hybrid Merge+Insertion Sort,random,17
40200,Hybrid Merge+Insertion Sort,random,16
40300,Hybrid Merge+Insertion Sort,random,15
40400,Hybrid Merge+Insertion Sort,random,15
40500,Hybrid Merge+Insertion Sort,random,16
40600,Hybrid Merge+Insertion Sort,random,16
40700,Hybrid Merge+Insertion Sort,random,16
40800,Hybrid Merge+Insertion Sort,random,16
40900,Hybrid Merge+Insertion Sort,random,16
41000,Hybrid Merge+Insertion Sort,random,17
41100,Hybrid Merge+Insertion Sort,random,17
41200,Hybrid Merge+Insertion Sort,random,17
41300,Hybrid Merge+Insertion Sort,random,18
41400,Hybrid Merge+Insertion Sort,random,16
41500,Hybrid Merge+Insertion Sort,random,16
41600,Hybrid Merge+Insertion Sort,random,16
41700,Hybrid Merge+Insertion Sort,random,16
41800,Hybrid Merge+Insertion Sort,random,16
41900,Hybrid Merge+Insertion Sort,random,16
42000,Hybrid Merge+Insertion Sort,random,16
42100,Hybrid Merge+Insertion Sort,random,16
42200,Hybrid Merge+Insertion Sort,random,17
42300,Hybrid Merge+Insertion Sort,random,16
42400,Hybrid Merge+Insertion Sort,random,16
42500,Hybrid Merge+Insertion Sort,random,16
42600,Hybrid Merge+Insertion Sort,random,17
42700,Hybrid Merge+Insertion Sort,random,16
42800,Hybrid Merge+Insertion Sort,random,17
42900,Hybrid Merge+Insertion Sort,random,17
43000,Hybrid Merge+Insertion Sort,random,17
43100,Hybrid Merge+Insertion Sort,random,17
43200,Hybrid Merge+Insertion Sort,random,17
43300,Hybrid Merge+Insertion Sort,random,17
43400,Hybrid Merge+Insertion Sort,random,17
43500,Hybrid Merge+Insertion Sort,random,17
43600,Hybrid Merge+Insertion Sort,random,17
43700,Hybrid Merge+Insertion Sort,random,17
43800,Hybrid Merge+Insertion Sort,random,17
43900,Hybrid Merge+Insertion Sort,random,17
44000,Hybrid Merge+Insertion Sort,random,17
44100,Hybrid Merge+Insertion Sort,random,17
44200,Hybrid Merge+Insertion Sort,random,17
44300,Hybrid Merge+Insertion Sort,random,17
44400,Hybrid Merge+Insertion Sort,random,17
44500,Hybrid Merge+Insertion Sort,random,17
44600,Hybrid Merge+Insertion Sort,random,18
44700,Hybrid Merge+Insertion Sort,random,18
44800,Hybrid Merge+Insertion Sort,random,19
44900,Hybrid Merge+Insertion Sort,random,18
45000,Hybrid Merge+Insertion Sort,random,19
45100,Hybrid Merge+Insertion Sort,random,18
45200,Hybrid Merge+Insertion Sort,random,18
45300,Hybrid Merge+Insertion Sort,random,18
45400,Hybrid Merge+Insertion Sort,random,18
